commit,〔＋oneselfまたは受身形で〕献身する；(罪など)を犯す；を投入する
stimulate,を刺激する
enhance,(価値など)を高める，増す
pursue,を追求する；に従事する
react,反応する；化学反応を起こす
disagree,不賛成である；意見が食い違う
stare,じっと見る；を見つめる
abandon,を捨てる；を放棄する，断念する
quit,をやめる；(場所)を去る
capture,をとらえる；をとりこにする
transfer,を移す；を伝える；移る；乗り換える
bother,を悩ます；(～を)気にかける(about / with)
persuade,を説得する；に確信させる
rent,を賃借りする；を賃貸しする
breed,を繁殖させる，育てる；繁殖する
invest,(を)投資する；に(～を)与える(with)
reserve,を予約する；を取っておく；(判断など)を保留する
trace,(足跡・起源など)をたどる；を捜し出す
illustrate,を説明する；に挿絵を入れる
advise,に忠告［助言］する；(を)助言する
convey,を伝える；を運ぶ，運搬する
attach,を(取り)付ける；を付与する
stretch,を伸ばす；を広げる；伸びる；及ぶ
puzzle,を当惑させる
disturb,をかき乱す；を妨害する；を動揺させる
crash,衝突する，墜落する；をぶつけて壊す
cope,うまく処理する
permit,を許可する
impress,を感動させる；に印象を与える
suspect,ではないかと思う；(人)を疑う
upset,を動揺させる；をだめにする
frighten,(人)を怖がらせる
import,を輸入する；を取り込む
export,(を)輸出する
investigate,を調査する；を究明する；(～を)調査する(into)
monitor,を監視する；を傍受する
calculate,を計算する；を予測する
eliminate,を取り除く
ease,を軽減する；和らぐ；緩む
launch,を開始する；を売り出す；を発射する
sequence,連続；一連(のもの)
therapy,療法；心理療法
symptom,症状；兆候
incident,出来事，事件；紛争
witness,目撃者；証人；証拠，証言
sum,(金)額；合計；要点
burden,負担；(重い)義務；積み荷
tone,口調；音色；雰囲気；色調
honor,光栄；名誉；敬意
award,(～の)賞(for)；(証書などの)授与
priority,優先(事項)
logic,論理；道理；論理学
minimum,最小限度
exception,(～の)例外(to)
clue,(～の)手がかり(to / about)；(パズルの)ヒント
bond,絆；債券；束縛；接着剤
virus,ウイルス；(感染症の)病原体
surgery,(外科)手術；外科，外科医学
insurance,保険；保険料；保険金
frame,枠，(額)縁；骨組み；体格
shelter,避難(所)，保護
territory,領土；(活動の)領域；(動物の)テリトリー
boundary,境界(線)；〔通例～s〕限界
habitat,生息地；(人の)居住地
district,地区；行政区
conservation,(動植物などの)保護；保存
harvest,収穫(物)；収穫期；漁獲高
predator,捕食動物；略奪者
trap,わな；苦境
trick,こつ；策略；いたずら；芸当
fault,〔通例one’s ～〕責任；欠点；誤り
discount,割引
bias,偏見；傾向
cooperation,協力，共同
patent,特許(権)；特許品
dialogue,対話，会話；意見の交換
component,構成要素；部品
reputation,評判；名声
verbal,言葉の；口頭での；動詞の
internal,内部の；国内の；内面的な
solid,しっかりした；硬い；固体の
remote,(～から)遠く離れた(from)；かけ離れた
principal,主要な；資本金の
sophisticated,高性能の，精巧な；洗練された
equivalent,等しい，相当する
rational,理性的な；合理的な
relevant,関係がある；適切な
absolute,絶対的な
frequent,頻繁な
permanent,永続的な
intense,強烈な；熱烈な
meaningful,意味のある
evil,邪悪な；有害な
extinct,絶滅した；廃止された
random,無作為の；手当たり次第の
raw,生の；未加工の
rude,無礼な；粗野な
mere,単なる，ほんの
tropical,熱帯の
forth,前へ，先へ；それ以降
